,English Text,Spanish,Russian,Malaysian
0,Biggest,Más grande ,Самый большой ,Yang paling besar 
1,Compare 3 digit numbers,Comparar números de 3 dígitos ,Сравнить 3 цифры ,Bandingkan nombor 3 digit 
2,Compare fractions,Comparar fracciones ,Сравнить фракции ,Bandingkan pecahan 
3,Counting numbers up to 10,Contando números hasta 10 ,Подсчет номеров до 10 ,Mengira nombor sehingga 10 
4,Division,División ,Разделение ,Bahagian 
5,Even or odd,Par o impar ,Четным или нечетным ,Genap atau ganjil 
6,Identify 2-dimensional shapes,Identificar formas 2-dimensionales. ,Определить 2-мерные формы ,Kenal pasti bentuk 2 dimensi 
7,Mixed Operations,Operaciones mixtas ,Смешанные операции ,Operasi bercampur 
8,Move The Character,Mover el personaje ,Переместить характер ,Gerakkan watak itu 
9,Multiplication,Multiplicación ,Умножение ,Pendaraban 
10,Rounding to nearest hundred,Redondeando a cien más cercano ,Округление до ближайших сотен ,Pembulatan ke seratus yang terdekat 
11,Subtract with decimals,Restar con decimales ,Вычесть с десятиками ,Tolak dengan perpuluhan 
12,Symmetry,Simetría ,Симметрия ,Simetri. 
13,True or False,Verdadero o falso ,Правда или ложь ,Betul atau salah 
14,What comes between?,¿Qué viene entre? ,Что происходит между? ,Apa yang berlaku di antara? 
15,Write numbers up to 10,Escribe números hasta 10 ,Написать номера до 10 ,Tulis nombor sehingga 10 
